h3,id,geom,value,severity_concat_joined_joined,event_concat_joined_joined,event_count_joined_joined,name_joined_joined_joined,event_type,event_exists
89446caf6c3ffff,2d76c515-dfb7-4970-8f54-a86706edef41,POINT(-95.4766735528373 29.7216782005997),138983.12610449185,,,,,No event,No alert
89446c0c6abffff,1c7e5fe3-fcae-4323-b943-d791633941c3,POINT(-95.0345109342445 29.7915426759607),193436.33849322208,,,,,No event,No alert
89446caadbbffff,2854541a-c6a0-4c6a-b634-b8030900c8aa,POINT(-95.4974380036502 29.6828763319062),251805.34869458692,,,,,No event,No alert
89446c35a0bffff,95caff0b-2d41-4420-9ce4-359710068dcf,POINT(-95.4501163074405 30.0249014102609),278931.22635840881,,,,,No event,No alert
8926caa6393ffff,019397b1-a82a-4b46-a177-a4e243afb88d,POINT(-97.3182035636217 32.9119254242793),371825.59427257359,,,,,No event,No alert
89489a580c7ffff,aae83250-50d3-4367-bb13-2e04d117add9,POINT(-96.4853796152755 31.0081835079193),299770.79435728781,,,,,No event,No alert
89446ca0e5bffff,8e2ad3e8-ed6c-4448-bea4-722d86bb0389,POINT(-95.5727472479407 29.6736373790289),267864.27445964137,,,,,No event,No alert
8926cbd94cfffff,f6d950f4-ba97-4e8b-bbfa-3d145c24301f,POINT(-97.4560359742846 32.7350800039496),118758.34317953839,,,,,No event,No alert
89446c252c7ffff,f7543027-1f79-4d8d-8d7e-93cf2fc0a872,POINT(-95.3855620844847 30.1273485221444),729324.77561295312,,,,,No event,No alert
8926cd0e64fffff,25a78bd9-2edd-4b2c-b203-48eaa4e7f60d,POINT(-95.5332429736379 33.6564115959055),209720.51911789429,,,,,No event,No alert
89446c30b8bffff,8284333f-1be2-45d3-b6e4-ce55770f0d6d,POINT(-95.402648559013 29.9241892364809),162411.62164379971,,,,,No event,No alert
8948936949bffff,33cffcc0-8105-406c-97e6-ddd25f069066,POINT(-95.8235084912067 29.6507028312983),961774.727399945,,,,,No event,No alert
89446c35a4bffff,29d399a8-9f5d-4abb-b6bc-cd80fcec3033,POINT(-95.4397945177663 30.0248520848116),220261.13138311359,,,,,No event,No alert
8926dd86e2bffff,e573cd54-e8cf-4c82-8240-4220368646ba,POINT(-98.661544572126 33.9608000013178),347920.8666803916,,,,,No event,No alert
89446b5a547ffff,b32940b3-c69c-4b6b-852a-aabf07b96cba,POINT(-94.0809500564049 31.7358123877851),288615.3342585988,,,,,No event,No alert
8926cbc7657ffff,615e6310-c0fa-411a-ba22-ef64275850d1,POINT(-97.1446229386049 32.5714864453794),357234.29946225049,,,,,No event,No alert
8944699b6dbffff,ac0ecf1c-2924-4eaa-8987-e8c3191f76e8,POINT(-95.9207914637347 30.9483647791365),272607.79691711464,,,,,No event,No alert
89489300063ffff,101744c2-716b-4c67-b610-9c917e062e2a,POINT(-96.2833995820681 29.2504170657255),226131.18871991226,,,,,No event,No alert
89446c10b67ffff,862b81a9-3201-44fb-81d8-5c535ed700c6,POINT(-95.136792490662 29.5682923644312),620572.28765078064,,,,,No event,No alert
89446d41b93ffff,a1eaf009-7d70-42d7-ba51-b343dc7c501f,POINT(-95.5686626074123 30.454130729436),417631.3500915058,,,,,No event,No alert
89446ca01c7ffff,e9078a66-d50b-4eb4-b077-6fe47472cc2a,POINT(-95.5866553188878 29.645036234612),389859.56748080626,,,,,No event,No alert
8926c86126fffff,96aadf45-a329-4639-ba36-74809f750a9c,POINT(-97.0974663653916 32.9655219185776),337191.75429976772,,,,,No event,No alert
8926dc996afffff,9a1dcb19-7b98-460f-90d6-49f9473068ef,POINT(-100.226188392694 34.8701326956398),140104.9344974666,,,,,No event,No alert
8948c61231bffff,4c025561-fb40-4a53-957e-6539522baeda,POINT(-106.549057890168 31.8383808421337),199949.43655000153,,,,,No event,No alert
8926cbd9ecfffff,bdcfd424-451f-4b55-a889-e13d86c33229,POINT(-97.4418294561611 32.6741696192597),529925.24141455221,,,,,No event,No alert
8948b3b042bffff,c0c600cb-0fb1-4873-bac1-d582df01d85a,POINT(-98.3609336874263 26.3180668318331),116876.41269384741,,,,,No event,No alert
8926c80db07ffff,eade332b-65d7-41fa-acb2-9043aeb72a80,POINT(-96.8234368838346 33.1234812044161),476682.09101138782,,,,,No event,No alert
8926c90836bffff,c1b4da4e-90ea-4bc9-a207-27573ebc5c88,POINT(-95.8956336532761 32.5453589320674),320006.88616567117,,,,,No event,No alert
89444d44aafffff,4a315cb3-4cea-4b1d-a764-597955504edd,POINT(-94.1294844040955 33.1847877638693),211309.1571081478,,,,,No event,No alert
89446ca9b73ffff,e8de3cd7-8bfb-42b2-afef-2c8f57352e95,POINT(-95.3528385231579 29.7751581347909),150073.24951556863,,,,,No event,No alert
89446ca8b53ffff,271b441e-3ce4-4742-8873-0b098b218523,POINT(-95.4204862456137 29.767729655318),1161277.2962023886,,,,,No event,No alert
89446c3232bffff,729a7657-4cf1-4d48-83d4-45af51f2a868,POINT(-95.3979526397327 29.8325357675232),182212.61432249838,,,,,No event,No alert
8926cbd800fffff,be40308d-9845-4ed3-ac94-4e1e3a8520be,POINT(-97.3806416798994 32.7070444189294),402114.26859413018,,,,,No event,No alert
89446dc9253ffff,890d7a43-ebcb-4c29-ac36-141fe6ee562b,POINT(-95.5540916129025 30.0715302888592),565211.86814958788,,,,,No event,No alert
89489a0450fffff,c6a752ff-96fd-45db-8cd9-494424743d20,POINT(-97.3123270772484 31.2054827059342),402861.69375386916,,,,,No event,No alert
89446c12e63ffff,82ba0ef3-b283-473d-a221-b13cacc982e3,POINT(-95.1499643641247 29.4766998926062),476087.04859820235,,,,,No event,No alert
89446c35b7bffff,ddfd9430-a248-4f23-b789-7370154b2ced,POINT(-95.467198342457 30.0431686827947),808286.679371942,,,,,No event,No alert
8926c839033ffff,fe2de51f-51a9-482d-b7c1-8b1c4ffc7e5f,POINT(-96.704520736611 33.0941041196503),834500.92237202288,,,,,No event,No alert
8926cbd4353ffff,c7a6136a-7f62-4734-8bd3-7566d3a9db79,POINT(-97.0625206355461 32.6448537146826),787205.89064295182,,,,,No event,No alert
8948b38417bffff,e2a970c4-d3cf-4b7b-bec3-137cd7d7a8e9,POINT(-98.2243165339154 26.2519422435295),166179.43726979659,,,,,No event,No alert
8926c876023ffff,16f757b2-4126-4f18-8910-44164c6452b8,POINT(-96.7781617445167 33.0885526855012),643135.18568025751,,,,,No event,No alert
89446cb6c8bffff,df4e9a68-0d7f-4d35-99b3-065c918c8fca,POINT(-95.8186829274403 29.5474448738244),273897.90794131288,,,,,No event,No alert
8926ca3732fffff,912c4de1-f5a9-409d-976e-0eb536409ed9,POINT(-97.5983260237355 32.670732735278),679662.68620489433,,,,,No event,No alert
