geom,value
POINT(-95.4771566716787 29.6784461874298),
POINT(-97.7573065804419 28.3946145543075),
POINT(-101.221597239079 30.7103342560312),
POINT(-98.2223050231856 29.3140234121487),
POINT(-99.5105959959888 27.5120082209366),
POINT(-96.9193953989357 32.6652270799752),
POINT(-96.1325545171603 29.3467104671356),
POINT(-96.7844087819393 32.709619153123),
POINT(-97.149124816826 27.9133812034311),
POINT(-98.7036167847408 26.430630074123),
POINT(-98.8315318384265 26.3697110437504),
POINT(-97.207409918485 26.0716060175526),
POINT(-95.2235852394241 29.587530278818),
POINT(-98.1632021689298 26.2892075483599),
POINT(-101.218643128567 30.7010418761828),
POINT(-94.7415760164586 31.3415258870567),
POINT(-95.5101181034172 29.989656417145),
POINT(-102.559607262969 31.8437354244253),
POINT(-96.997864962309 30.6751939269248),
POINT(-95.5322209009303 29.7777939420799),
POINT(-99.7469996392836 32.4135009343762),
POINT(-96.9200315590712 32.6666316028907),
POINT(-95.5129110707194 29.9877786417873),
POINT(-98.1780151688094 26.3001530361793),
POINT(-96.4171477039032 30.5827849615517),
POINT(-96.8972291907451 32.6276330552292),
POINT(-97.7648761582916 28.4180907212971),
POINT(-97.3716632396584 32.6540435886321),
POINT(-95.6225640011185 29.7271501251404),
POINT(-95.4522678721117 29.8756884703011),
POINT(-94.964843178211 32.7314538066037),
POINT(-98.9150545727522 29.1798593599219),
POINT(-95.4219585452926 29.7622901218328),
POINT(-97.7517322860155 30.28298845908),
POINT(-98.5545915320181 29.4297571685196),
POINT(-95.5869187898036 29.7055422492388),
POINT(-94.1347502568975 30.0875364425284),
POINT(-97.3568427662561 32.3495381899811),
POINT(-97.3242830352546 32.8184498445325),
POINT(-95.4247748004736 29.8775607638216),
POINT(-93.7418359597467 30.1126364958118),
POINT(-98.1453310241617 27.2362168959633),
POINT(-97.7618827974276 30.4162108743906),
POINT(-95.3778379119466 31.2271282143467),
POINT(-96.7879345850768 32.87163738453),
POINT(-96.6483031282651 32.7462992212784),
POINT(-97.2850229585673 32.7238393726272),
POINT(-97.4344313704188 26.033168821797),
POINT(-98.5097317641379 33.9057593738405),
POINT(-95.2732994124359 29.8850994396421),
POINT(-98.150275448014 26.3090630340094),
POINT(-95.3329412702618 29.7400066022494),
POINT(-98.1125445164954 31.7178312034802),
POINT(-95.4644071067079 29.7004160304313),
POINT(-96.6465993556757 32.826618965341),
POINT(-97.748211615852 30.2973656323372),
POINT(-98.4409440869203 29.4918140751528),
POINT(-97.0158088956314 30.6567632739283),
POINT(-94.0870235571927 33.4632834358653),
POINT(-95.4510894846225 29.8712301145766),
POINT(-95.5006065528572 29.8973761776951),
POINT(-96.6333273092649 33.6393725461494),
POINT(-97.3436175609634 32.6846264829689),
POINT(-98.1040895486245 26.3566554170807),
POINT(-95.0990473102429 29.3646908873539),
POINT(-95.4471227756697 29.8690853909162),
POINT(-95.2958342187591 29.9375472160682),
POINT(-95.8621313427209 32.2209823663678),
POINT(-97.5302178946432 32.9756377990778),
POINT(-97.7460495657504 26.2049493720999),
POINT(-96.1490856992363 31.1748653149509),
POINT(-96.7819573050169 32.8475025044999),
POINT(-98.1212115756241 26.1353050983102),
POINT(-95.41786544931 29.7620243541284),
